"Nome";"País";"Posição";"Clube";"Idade";"Salário";"Valor Venda";"Melhor Classificação";"Melhor Classificação Potencial";"ID Único"
"Caíque Santos";"Brasil";"Def/Ala E";"-";"25";"0";"0";"55.7% (DL)";"65.0% (DL)";"2000064358"
"Caíque Souza";"Brasil";"MA DEC, Av C";"Primavera";"25";"950";"1.780";"64.7% (Pnt)";"71.1% (Pnt)";"19348059"
"Caires, Douglas";"Brasil";"MA DC";"União Frederiquense";"16";"30";"0";"42.6% (Pnt)";"69.2% (Pnt)";"2002160559"
"Cairo";"Brasil / Espanha";"GR";"Atlético Patrocinense";"39";"60";"0";"68.2% (GR)";"68.2% (GR)";"316637"
"Cairo";"Brasil";"PL";"Wiliete de Benguela";"26";"150";"0";"66.9% (PLR)";"71.0% (PLR)";"19383603"
"Cairo";"Brasil";"GR";"XV de Piracicaba";"15";"40";"0";"45.8% (GR)";"73.7% (GR)";"2002159379"
"Caiuby";"Brasil";"MA DE, PL";"São Caetano";"36";"310";"0";"62.2% (Pnt)";"62.2% (Pnt)";"19008354"
"Cajazeiras, Tiago";"Brasil";"MA E, PL";"Jacobinense";"16";"30";"0";"55.5% (PLR)";"77.2% (PLR)";"2002160718"
"Caju";"Brasil";"Def/Ala E";"Grêmio";"29";"3.180";"236.880";"74.2% (DL)";"74.2% (DL)";"19249629"
"Cajueiro, Hebert";"Brasil";"GR";"Paulistano (MT)";"16";"30";"0";"43.6% (GR)";"65.5% (GR)";"2002162118"
"Cajuste, Jens";"Suécia / E.U.A. / Haiti";"Def/Ala D, MD, M DC";"Besiktas";"25";"45.420";"41.607.070";"78.2% (M)";"80.9% (M)";"93069729"
"Çakir, Ugurcan";"Turquia";"GR";"Galatasaray";"28";"41.080";"16.142.790";"84.0% (GR)";"86.7% (GR)";"70097314"
"Calabetão";"Brasil";"MA DE";"Penedense";"24";"460";"0";"64.8% (Pnt)";"66.7% (Pnt)";"2000139377"
"Calabria, Davide";"Itália";"Def/Ala D";"Milan";"27";"73.920";"115.779.380";"84.1% (DL)";"86.1% (DL)";"43123020"
"Calado";"Brasil";"Def/Ala D";"Trem";"24";"340";"0";"66.1% (DL)";"70.9% (DL)";"2000120768"
"Calado, Edi";"Brasil";"Ala D";"Botafogo (DF)";"16";"30";"0";"45.6% (Ala)";"69.3% (Ala)";"2002159911"
"Calado, Lucas";"Brasil";"MD";"Manaus";"16";"40";"0";"51.6% (M)";"58.2% (M)";"2002158359"
"Calamari, Cláudio";"Brasil";"Def/Ala DE, MD";"Sergipe";"16";"40";"0";"41.5% (DL)";"51.1% (DL)";"2002157795"
"Calamari, Rafael";"Brasil";"MA DC";"São Paulo Crystal";"16";"30";"0";"53.2% (M)";"76.7% (M)";"2002160311"
"Calamari, Ricardo";"Brasil";"MA EC, Av C";"Quixadá";"16";"30";"0";"48.0% (PLR)";"73.4% (PLR)";"2002161883"
"Calarge, Victor";"Líbano / Brasil / Espanha";"Def/Ala D";"Trival Valderas";"28";"660";"21.050";"64.6% (DL)";"66.1% (DL)";"19219160"
"Calazans";"Brasil";"MA DE";"Goiatuba";"28";"540";"6.420";"64.5% (Pnt)";"69.9% (Pnt)";"19247388"
"Calçade, Marcel";"Brasil";"MA D";"União da Ilha (PE)";"16";"0";"0";"54.8% (Pnt)";"60.8% (Pnt)";"2002129555"
"Calcaterra, Horacio";"Perú / Argentina";"MA DEC";"Universitario";"35";"2.310";"11.650";"66.9% (Pnt)";"66.9% (Pnt)";"14009920"
"Caldas, Marcelo";"Brasil";"MA DE, PL";"Fast Clube";"16";"40";"0";"53.2% (Pnt)";"73.8% (Pnt)";"2002159414"
"Calderón, Cristian";"México";"Def/Ala E";"Chivas";"27";"12.060";"1.434.740";"74.0% (DL)";"78.9% (DL)";"51055914"
"Calé, Élton";"Brasil";"MA DEC, Av C";"Gjilani";"36";"410";"1.950";"63.2% (Pnt)";"63.2% (Pnt)";"19020607"
"Caleb";"Brasil / Portugal";"MA DE";"Atlético CP";"32";"80";"470";"63.0% (Pnt)";"63.0% (Pnt)";"19153380"
"Calebe";"Brasil";"MA C";"Alavés";"24";"3.500";"86.830";"71.2% (Pnt)";"76.6% (Pnt)";"19363221"
"Calebe";"Brasil";"GR";"Dom Bosco";"25";"520";"0";"69.1% (GR)";"71.8% (GR)";"2000013659"
"Calebe";"Brasil";"MD, MA C";"Atlético Acreano";"21";"400";"3.570";"59.6% (M)";"65.7% (M)";"2000136157"
"Calegari";"Brasil";"Def/Ala DE, MD";"Eyüpspor";"22";"13.490";"1.891.590";"73.6% (DL)";"78.3% (DL)";"19392884"
"Caleta-Car, Duje";"Croácia";"Def C";"OL";"28";"30.420";"46.068.610";"79.0% (DC)";"79.9% (DC)";"24039427"
"Çalhanoglu, Hakan";"Turquia / Alemanha";"MD, MA EC";"Inter";"30";"153.520";"77.564.540";"82.2% (Pnt)";"83.3% (Pnt)";"92026209"
"Caliendo, Elano";"Brasil";"Def DC";"Glória";"16";"30";"0";"46.3% (DC)";"64.4% (DC)";"2002160410"
"Caliendo, Guilherme";"Brasil";"MA D, PL";"Paranavaí";"16";"30";"0";"50.2% (PLR)";"70.3% (PLR)";"2002161819"
"Calinhos";"Brasil";"MA C";"Vasco";"16";"30";"43.280";"53.6% (M)";"73.0% (M)";"2002156761"
"Calixto";"Brasil";"MA DC";"Paracatu";"21";"150";"0";"48.6% (PLR)";"55.6% (PLR)";"19399878"
"Calleri, Jonathan";"Argentina";"PL";"São Paulo";"31";"16.030";"3.658.040";"78.1% (PLA)";"80.0% (PLA)";"14034934"
"Calú";"Cabo Verde";"Def C, MD";"Mindelense";"41";"20";"0";"60.7% (DC)";"60.7% (DC)";"13153798"
"Calvert-Lewin, Dominic";"Inglaterra";"PL";"Leeds";"27";"67.460";"101.598.210";"82.3% (PLA)";"86.1% (PLA)";"29123128"
"Calvet, Wellington";"Brasil";"MA EC";"Caxias (SC)";"16";"70";"0";"49.4% (MA)";"55.5% (MA)";"2002129591"
"Calvo, Francisco";"Costa Rica / E.U.A.";"Def C";"Al-Ettifaq";"32";"15.940";"152.261.250";"72.8% (DC)";"73.3% (DC)";"80013411"
"Calvo, Leandro";"Brasil";"MA EC";"CRB";"16";"30";"0";"54.1% (Pnt)";"72.7% (Pnt)";"2002157197"
"Calyson";"Brasil";"MA E";"Caxias";"31";"1.100";"22.570";"67.5% (Pnt)";"69.0% (Pnt)";"19190159"
"Camacho";"Brasil";"MD";"CSA";"34";"8.470";"209.580";"73.4% (M)";"73.4% (M)";"19010988"
"Camacho, Daniel";"Bolívia";"MA C";"The Strongest";"26";"880";"6.020";"66.5% (M)";"70.9% (M)";"86053946"
"Camara, Lamine";"Senegal";"M C";"AS Monaco";"20";"1.070";"538.490";"66.3% (M)";"72.1% (M)";"12093439"
"Camara, Mohamed";"Mali";"MD";"Al-Sadd";"24";"60.580";"40.814.560";"79.5% (M)";"83.0% (M)";"13193983"
"Camará, Moisés";"Guiné-Bissau";"MA D, PL";"-";"16";"0";"0";"42.1% (Pnt)";"55.6% (Pnt)";"2002158929"
"Camarda, Francesco";"Itália";"PL";"Lecce";"18";"6.540";"90.064.280";"72.5% (PLR)";"92.4% (PLR)";"2002055826"
"Camargo Alves, Victor";"Brasil";"MD, M EC";"Gama";"16";"30";"0";"53.4% (Pnt)";"68.5% (Pnt)";"2002159096"
"Camargo, Edvaldo";"Brasil";"MA EC";"Manauara";"16";"30";"0";"45.3% (Pnt)";"65.1% (Pnt)";"2002158867"
"Camargo, Jeferson";"Brasil";"MD, M DC";"Sampaio Corrêa (RJ)";"16";"30";"0";"43.9% (M)";"68.7% (M)";"2002160571"
"Camargo, Murilo";"Brasil";"Def D";"Jaguar";"16";"190";"0";"53.2% (DL)";"58.5% (DL)";"2002129491"
"Camargo, Rodrigo";"Brasil";"MD";"Apucarana Sports";"16";"30";"0";"51.5% (MD)";"67.8% (MD)";"2002159805"
"Camavinga, Eduardo";"França / Congo / Angola";"MD";"Real Madrid";"22";"398.140";"202.904.270";"84.9% (M)";"89.2% (M)";"49056243"
"Camello, Sergio";"Espanha";"PL";"Rayo Vallecano";"23";"7.850";"10.098.310";"77.9% (PLR)";"85.1% (PLR)";"67272502"
"Camilo";"Brasil";"MA C";"Botafogo (PB)";"38";"1.410";"310";"67.2% (M)";"67.2% (M)";"19002901"
"Camilo";"Brasil";"GR";"Baraúnas";"35";"600";"0";"67.7% (GR)";"67.7% (GR)";"19038481"
"Camilo";"Brasil / Holanda";"MD";"Grêmio";"25";"1.290";"2.450";"68.0% (MD)";"72.2% (MD)";"19377973"
"Camilo Sanvezzo";"Brasil";"MA E, PL";"At. San Luis";"36";"9.830";"11.510";"72.9% (PLR)";"72.9% (PLR)";"47017253"
"Campaña, José";"Espanha";"MD, MA C";"Villarreal";"31";"29.440";"300.000.000";"79.1% (Pnt)";"81.1% (Pnt)";"67089223"
"Campaña, Martín";"Uruguai";"GR";"Peñarol";"35";"16.980";"3.322.950";"76.7% (GR)";"76.7% (GR)";"78021572"
"Campanati, Aristeu";"Brasil / Itália";"Def C";"Guarani (MG)";"24";"920";"220";"60.3% (DC)";"66.9% (DC)";"43455514"
"Campanelli";"Brasil";"GR";"Juazeirense";"29";"380";"500";"67.7% (GR)";"68.8% (GR)";"19373100"
"Campestrini";"Brasil";"Def C, MD";"Poconé";"31";"60";"0";"61.6% (DC)";"63.0% (DC)";"19241735"
"Campos, Emerson";"Brasil";"MA C";"Noroeste";"16";"30";"0";"46.7% (M)";"66.9% (M)";"2002159266"
"Campos, Gottfried";"Brasil";"Def C";"R1 Esporte";"16";"0";"0";"54.0% (DC)";"65.1% (DC)";"2002129782"
"Campos, Paulo";"Portugal";"GR";"-";"24";"0";"0";"65.3% (GR)";"69.1% (GR)";"83336768"
"Campos, Rogério";"Brasil";"Def C, MD";"Maringá";"16";"30";"0";"45.7% (DC)";"52.5% (DC)";"2002158668"
"Campuzano, Jorman";"Colômbia";"MD";"Atlético Nacional";"28";"7.880";"1.926.480";"75.4% (MD)";"77.0% (MD)";"76043820"
"Camutanga";"Brasil";"Def C";"Remo";"31";"1.090";"4.330";"70.0% (DC)";"71.3% (DC)";"19190175"
"Can, Emre";"Alemanha / Turquia";"Def DC, MD";"Borussia Dortmund";"30";"140.540";"105.982.780";"81.0% (M)";"83.5% (M)";"92021718"
"Canales, Sergio";"Espanha";"MD, MA C";"Juventus";"33";"100.220";"300.000.000";"84.7% (MA)";"84.7% (MA)";"67053076"
"Canário";"Brasil";"Def E, M C";"-";"29";"0";"0";"50.4% (DL)";"55.0% (DL)";"2002052175"
"Canário";"Brasil / Portugal";"MA D";"Guaíba FC";"16";"0";"0";"45.8% (Pnt)";"49.2% (Pnt)";"2002130185"
"Canário, Francisco";"Portugal";"MA E, PL";"Portimonense";"21";"100";"187.900";"62.5% (PLR)";"74.9% (PLR)";"83320130"
"Cancellieri, Matteo";"Itália";"MA D, PL";"Lazio";"22";"32.680";"34.382.860";"77.0% (Pnt)";"83.2% (Pnt)";"43424754"
"Cancelo, João";"Portugal";"Def/Ala DE";"Al-Hilal (KSA)";"30";"203.310";"21.532.510";"84.1% (Pnt)";"85.1% (Pnt)";"55041623"
"Câncio, Éder";"Brasil";"MA DC, Av C";"Resende";"16";"30";"0";"54.2% (PLR)";"77.3% (PLR)";"2002159146"
"Câncio, Henrique";"Brasil";"PL";"Potiguar de Parnamirim";"16";"90";"0";"53.7% (PLR)";"56.3% (PLR)";"2002130556"
"Câncio, Laécio";"Brasil";"Def C, MD";"Blumenau";"16";"30";"0";"45.0% (DC)";"62.2% (DC)";"2002161903"
"Canela";"Brasil";"MA DE";"Londrina";"24";"130";"1.230";"61.9% (Pnt)";"67.4% (Pnt)";"19390876"
"Canela";"Brasil";"GR";"Caxias (SC)";"16";"110";"0";"48.9% (GR)";"58.6% (GR)";"2002130107"
"Canga";"Brasil";"PL";"Bragantino (PA)";"32";"410";"2.740";"66.9% (PLR)";"67.9% (PLR)";"19125760"
"Cano, Germán";"Argentina";"PL";"Fluminense";"36";"25.990";"300.000.000";"79.7% (PLR)";"79.7% (PLR)";"14003037"
"Canobbio, Agustín";"Uruguai / Itália";"MA DEC";"Fluminense";"26";"7.870";"10.847.420";"77.7% (Pnt)";"80.3% (Pnt)";"78084523"
"Cantalapiedra, Aitor";"Espanha";"MA DE";"Vitória";"28";"6.780";"2.105.920";"73.6% (Pnt)";"75.2% (Pnt)";"67201633"
"Cantê";"Brasil";"Def/Ala D";"São Raimundo (RR)";"22";"160";"0";"54.0% (DL)";"57.5% (DL)";"2000209493"
"Cantillo, Víctor";"Colômbia";"MD";"Remo";"31";"7.550";"970.240";"73.7% (M)";"75.6% (M)";"76036999"
"Cantionilo";"Brasil";"Def/Ala E";"Passo Fundo";"23";"510";"4.350";"64.3% (DL)";"69.8% (DL)";"2000096348"
"Cao Sheng";"China";"MA D";"Shandong";"29";"840";"1.470";"53.7% (Pnt)";"58.7% (Pnt)";"23180087"
"Capa";"Brasil";"Def/Ala E";"Porto Velho";"31";"200";"0";"60.7% (Pnt)";"62.2% (Pnt)";"19173298"
"Capanni, Luan";"Brasil / Itália";"MA/Av C";"Siracusa";"24";"650";"5.450";"63.6% (PLA)";"68.6% (PLA)";"19351988"
"Caparroz, Daniel";"Brasil";"MA D, PL";"Sampaio Corrêa";"15";"40";"0";"55.2% (PLR)";"71.9% (PLR)";"2002157546"
"Capela";"Brasil";"M C";"-";"39";"0";"0";"59.2% (M)";"59.2% (M)";"19006126"
"Capelim, Stefan";"Brasil";"MA EC";"Paraíso (TO)";"16";"40";"0";"51.0% (Pnt)";"77.1% (Pnt)";"2002161363"
"Capella, Ediglê";"Brasil";"Ala E, MD";"Desportivo Brasil";"16";"30";"0";"55.7% (M)";"74.3% (M)";"2002158985"
"Capellino, Facundo";"Argentina";"MD";"San Martín (Tucumán)";"25";"320";"55.270";"67.5% (M)";"75.0% (M)";"14201347"
"Capixaba";"Brasil";"MA DE";"Cerezo";"27";"2.670";"770.990";"70.3% (Pnt)";"71.4% (Pnt)";"2002052011"
"Capoue, Étienne";"França / Guadalupe";"MD";"Inter";"36";"62.660";"391.920";"77.2% (M)";"77.2% (M)";"8448716"
"Capriati, Wellington";"Brasil";"Def EC";"Botafogo";"16";"40";"0";"55.8% (DC)";"70.4% (DC)";"2002156903"
"Caprini";"Brasil";"MA DE, PL";"Yokohama FC";"27";"1.920";"515.430";"69.6% (Pnt)";"72.2% (Pnt)";"2002051991"
"Capuchinho, Raphael";"Brasil";"Def D, MD";"Cabofriense";"15";"40";"0";"45.5% (M)";"66.1% (M)";"2002159399"
"Caqueret, Maxence";"França";"MD, MA C";"Como";"24";"25.890";"3.836.350";"79.4% (M)";"85.5% (M)";"48044737"
"Carabalí, José";"Equador";"Def/Ala E, MA DE";"Universitario";"27";"2.050";"21.580";"71.2% (Pnt)";"72.3% (Pnt)";"86066569"
"Carabalí, Omar";"Chile / Equador";"GR";"O'Higgins";"27";"1.100";"12.550";"72.2% (GR)";"77.7% (GR)";"75036969"
"Caramez, Marcelo";"Brasil";"Ala D";"Joinville";"16";"30";"3.580";"48.4% (Ala)";"68.1% (DL)";"2002159058"
"Caramori, Vinicius";"Brasil";"Def C, MD";"Jacobina";"16";"30";"0";"45.6% (MD)";"67.2% (MD)";"2002160385"
"Carapiá, Anderson";"Brasil";"Def DC, MD";"Votuporanguense";"16";"30";"0";"49.6% (DL)";"69.5% (DL)";"2002159163"
"Carballo, Felipe";"Uruguai";"MD";"Portland";"28";"7.210";"2.656.860";"74.7% (Pnt)";"78.2% (Pnt)";"78074391"
"Carberry, Michael";"Inglaterra";"Def/Ala/MA E";"Prescot";"26";"0";"0";"52.3% (DL)";"54.9% (DL)";"29141155"
"Carbonero, Johan";"Colômbia";"MA E";"Internacional";"25";"9.990";"3.540.320";"70.5% (Pnt)";"73.9% (Pnt)";"76053940"
"Carboni, Andrea";"Itália";"Def EC";"Monza";"23";"8.750";"7.020.980";"75.3% (DC)";"81.2% (DC)";"43391662"
"Carbonieri, Gustavo";"Brasil / Itália";"Def C";"Rio Branco (ES)";"32";"80";"0";"60.1% (DC)";"60.7% (DC)";"19165130"
"Cardena, Bruno";"Brasil";"MA D, PL";"Pedreira";"16";"40";"0";"46.6% (PLR)";"69.8% (PLR)";"2002160923"
"Cardona, Edwin";"Colômbia";"MA EC";"Atlético Nacional";"31";"9.170";"720.190";"77.5% (MA)";"79.4% (MA)";"76013885"
"Cardona, Tomás";"Argentina";"Def C";"Tigre";"29";"9.480";"128.920";"72.4% (DC)";"73.8% (DC)";"14080599"
"Cardoso Reis, Danilo";"Brasil";"Def/Ala/MA D";"Igrejinha";"15";"40";"0";"42.3% (Pnt)";"64.2% (Pnt)";"2002161655"
"Cardoso Varela";"Portugal";"MA DE";"Dinamo";"18";"210";"15.774.330";"69.8% (Pnt)";"90.4% (Pnt)";"2002098476"
"Cardoso, Diogo";"Brasil";"Ala E, MD";"Spartax";"16";"30";"0";"43.0% (MD)";"62.6% (MD)";"2002161717"
"Cardoso, Dorival";"Brasil";"Def C, M C";"Nova Russas";"16";"30";"0";"44.2% (DC)";"68.5% (DC)";"2002161423"
"Cardoso, Evaldo";"Brasil";"MA E, PL";"Barra da Tijuca";"16";"30";"0";"46.0% (PLR)";"71.2% (Pnt)";"2002161665"
"Cardoso, Gabriel";"Brasil";"GR";"Fluminense de Feira";"16";"30";"15.590";"51.5% (GR)";"76.7% (GR)";"2002159127"
"Cardoso, Gilberto";"Brasil";"Def/Ala/M E";"CRAC";"16";"30";"0";"43.9% (DL)";"67.5% (DL)";"2002157843"
"Cardoso, Patrick";"Brasil";"MD";"Tricordiano";"16";"30";"0";"43.4% (MD)";"71.0% (MD)";"2002161489"
"Cardozo Lucena, Ángel";"Paraguai";"MD";"Libertad";"30";"2.200";"675.560";"75.9% (M)";"77.8% (M)";"79024228"
"Cardozo, Oscar";"Paraguai / Portugal";"PL";"Libertad";"41";"3.590";"1.880";"72.5% (PLA)";"72.5% (PLA)";"8828106"
"Careca";"Brasil";"GR";"Altos (PI)";"27";"60";"0";"68.1% (GR)";"68.1% (GR)";"19294710"
"Careca";"Brasil";"MA/Av C";"-";"29";"0";"0";"61.1% (Pnt)";"66.3% (Pnt)";"19302928"
"Cariba, Evandro";"Brasil";"MA DE, PL";"ABC";"16";"30";"0";"49.6% (Pnt)";"67.7% (Pnt)";"2002157238"
"Carioca";"Brasil";"Def C";"Friburguense";"24";"440";"0";"63.0% (DC)";"63.9% (DC)";"2002052738"
"Carioca";"Brasil";"MA DE, PL";"Treze";"16";"40";"0";"41.3% (Pnt)";"55.5% (Pnt)";"2002157411"
"Carioca";"Brasil";"Def/Ala/M E";"Imperatriz";"16";"30";"0";"51.4% (DL)";"78.1% (DL)";"2002159115"
"Carioca";"Brasil";"MA EC, Av C";"Força e Luz";"16";"30";"0";"39.5% (Pnt)";"65.2% (Pnt)";"2002160381"
"Carioca";"Brasil";"Def C, MD";"União Harmonia";"16";"30";"0";"39.8% (DC)";"56.1% (DC)";"2002160942"
"Carioca";"Brasil";"GR";"Mauá";"15";"40";"0";"48.2% (GR)";"72.8% (GR)";"2002161580"
"Carlão";"Brasil";"PL";"Ferroviária (SP)";"32";"700";"410";"66.1% (PLA)";"67.0% (PLA)";"19123828"
"Carlão";"Brasil";"Def C, MD";"Nacional (PR)";"35";"410";"0";"65.4% (DC)";"65.4% (DC)";"19147655"
"Carlão";"Brasil";"GR";"XV de Piracicaba";"38";"740";"120";"65.2% (GR)";"65.2% (GR)";"19319190"
"Carlão";"Brasil";"GR";"Foz do Iguaçu";"26";"50";"0";"68.0% (GR)";"73.5% (GR)";"19328335"
"Carlão";"Brasil";"Def C";"Água Santa";"24";"350";"0";"64.4% (DC)";"72.2% (DC)";"19350779"
"Carlão";"Brasil";"Def C";"Botafogo (SP)";"23";"800";"3.420";"65.5% (DC)";"69.0% (DC)";"2000020134"
"Carlão";"Brasil";"Def C";"Operário VG";"25";"100";"0";"59.1% (DC)";"61.7% (DC)";"2000237287"
"Carlão";"Brasil";"MA E";"Treze";"16";"40";"0";"45.3% (Pnt)";"57.3% (Pnt)";"2002157419"
"Carlão";"Brasil";"GR";"CDC";"16";"30";"0";"41.9% (GR)";"67.4% (GR)";"2002161267"
"Carleandro";"Brasil";"Def/Ala E";"Portuguesa (RJ)";"16";"40";"0";"48.4% (DL)";"58.3% (DL)";"2002158460"
"Carlinhos";"Brasil";"MA EC";"Angra Audax";"34";"590";"0";"61.8% (Pnt)";"61.8% (Pnt)";"19054425"
"Carlinhos";"Brasil";"Def/Ala D";"Glória";"35";"240";"0";"57.2% (DL)";"57.2% (DL)";"19189048"
"Carlinhos";"Brasil";"GR";"Americano";"26";"540";"0";"68.2% (GR)";"72.0% (GR)";"19250971"
"Carlinhos";"Brasil";"PL";"Vitória";"27";"780";"3.600";"65.4% (PLA)";"69.2% (PLA)";"19270251"
"Carlinhos";"Brasil";"Ala D, MD";"Rio Verde (GO)";"31";"450";"1.030";"62.7% (DL)";"64.7% (DL)";"19284353"
"Carlinhos";"Brasil";"Def/Ala D";"Varginha";"25";"440";"0";"67.2% (DL)";"74.6% (DL)";"19347260"
"Carlinhos";"Brasil";"MA/Av C";"São Borja";"25";"170";"0";"61.6% (PLR)";"65.2% (PLR)";"19349659"
"Carlinhos";"Brasil";"Def C, MD";"Náutico";"29";"360";"5.200";"61.7% (DC)";"61.7% (DC)";"19366895"
"Carlinhos";"Brasil";"MA DEC";"Blumenau";"26";"120";"90";"61.7% (Pnt)";"66.4% (Pnt)";"19398782"
"Carlinhos";"Brasil";"Def/Ala E";"Veranópolis";"23";"360";"0";"59.6% (DL)";"62.1% (DL)";"19400123"
"Carlinhos";"Brasil";"MA DC";"Qatar SC";"30";"30.470";"3.476.330";"73.2% (Pnt)";"75.8% (Pnt)";"92057437"
"Carlinhos";"Brasil";"Def/Ala E";"Nacional (PR)";"25";"50";"0";"64.6% (DL)";"68.0% (DL)";"2000062010"
"Carlinhos";"Brasil";"Def/Ala E";"Nova Venecia";"28";"420";"0";"57.4% (DL)";"63.3% (DL)";"2000067319"
"Carlinhos";"Brasil";"MA C";"ABC";"23";"50";"0";"58.4% (M)";"61.9% (M)";"2000145172"
"Carlinhos";"Brasil";"Def C";"CSP";"20";"240";"0";"58.0% (DC)";"62.0% (DC)";"2000248306"
"Carlinhos";"Brasil";"Def D";"Glória";"30";"70";"0";"56.1% (DL)";"61.9% (DL)";"2002052213"
"Carlinhos";"Brasil";"Def/Ala E";"Glória";"30";"50";"0";"47.9% (DL)";"53.8% (DL)";"2002052223"
"Carlinhos Junior";"Brasil";"MA DE, PL";"S-Pulse";"30";"940";"161.350";"68.8% (PLR)";"72.3% (PLR)";"2002051779"
"Carlinhos Rocha";"Brasil";"Def C";"Moto Club";"38";"100";"0";"62.0% (DC)";"62.0% (DC)";"19008821"
"Carlison";"Brasil";"MA D, PL";"Porto (SC)";"20";"220";"0";"57.5% (PLR)";"73.0% (PLR)";"2000139674"
"Carlito";"Brasil / Portugal / Grécia";"MA C";"Agios Nikolaos";"29";"260";"3.450";"61.8% (MA)";"61.8% (MA)";"19196608"
"Carlos";"Brasil / Itália";"Def/Ala/M E";"Rio Branco (PR)";"26";"410";"0";"61.1% (DL)";"66.5% (DL)";"43318488"
"Carlos";"Brasil / Portugal";"Def/Ala/M E";"Portuguesa Santista";"26";"170";"0";"60.9% (DL)";"62.8% (DL)";"83278981"
"Carlos";"Brasil";"Def/Ala E";"Capivariano";"24";"50";"0";"62.7% (DL)";"65.2% (DL)";"2000059257"
"Carlos";"Brasil";"GR";"América (MG)";"20";"50";"1.320";"61.7% (GR)";"75.5% (GR)";"2000158430"
"Carlos";"Brasil";"Def DEC";"ABD FC";"15";"40";"0";"46.7% (DL)";"49.5% (DL)";"2002130276"
"Carlos";"Brasil";"GR";"Maringá";"16";"30";"0";"41.3% (GR)";"66.5% (GR)";"2002158656"
"Carlos";"Brasil";"GR";"Bahia de Feira";"16";"30";"0";"43.5% (GR)";"72.5% (GR)";"2002159315"
"Carlos Alberto";"Brasil";"Def/Ala D";"-";"40";"0";"0";"60.7% (Pnt)";"60.7% (Pnt)";"319215"
"Carlos Alberto";"Brasil";"MA C";"Foz do Iguaçu";"36";"450";"0";"63.1% (MA)";"63.1% (MA)";"19016431"
"Carlos Alberto";"Brasil";"MA DC";"Portuguesa Santista";"29";"360";"3.500";"63.2% (Pnt)";"68.3% (Pnt)";"19184032"
"Carlos Alberto";"Brasil";"MA E, PL";"Cuiabá";"22";"360";"56.920";"63.5% (Pnt)";"71.3% (Pnt)";"19411614"
"Carlos Alberto";"Brasil / Portugal";"Def C";"Vila Fria";"27";"0";"0";"59.1% (DC)";"61.3% (DC)";"83315253"
"Carlos Alberto";"Brasil";"Def C";"Águia de Marabá";"30";"640";"0";"61.6% (DC)";"61.6% (DC)";"2000061709"
"Carlos Alberto";"Brasil";"MA DEC";"Fluminense";"16";"130";"417.230";"70.3% (Pnt)";"95.2% (Pnt)";"2002156632"
"Carlos Alberto";"Brasil";"Def DC, MD";"Sergipe";"16";"40";"0";"47.7% (DC)";"69.2% (DC)";"2002157793"
"Carlos Alberto";"Brasil / Polônia ";"MA C";"Água Santa";"16";"40";"19.930";"56.4% (M)";"77.0% (M)";"2002157806"
"Carlos Alberto";"Brasil";"Ala D, MD";"Sousa";"16";"30";"0";"50.8% (MD)";"73.0% (MD)";"2002157966"
"Carlos Alberto";"Brasil";"MD, MA C";"União Rondonópolis";"16";"40";"0";"47.0% (MA)";"70.1% (MD)";"2002158481"
"Carlos Alberto";"Brasil";"MA E";"Athletic Club (MG)";"16";"20";"0";"40.3% (Pnt)";"62.6% (Pnt)";"2002158617"
"Carlos Alberto";"Brasil";"MD";"São Raimundo (RR)";"16";"30";"0";"48.3% (MD)";"65.6% (MD)";"2002158768"
"Carlos Alberto";"Brasil";"MA D";"Maracanã";"16";"30";"0";"48.7% (Pnt)";"73.3% (Pnt)";"2002158852"
"Carlos Alberto";"Brasil";"MA DC";"Cametá";"16";"30";"0";"50.1% (MA)";"74.1% (MA)";"2002158894"
"Carlos Alberto";"Brasil";"MA EC, Av C";"Boavista (RJ)";"16";"30";"0";"47.2% (MA)";"71.4% (MA)";"2002159207"
"Carlos Alberto";"Brasil";"MA E";"Paulista";"16";"30";"0";"40.0% (Pnt)";"61.4% (Pnt)";"2002159263"
"Carlos Alberto";"Brasil";"MA DC";"Monte Azul";"15";"40";"0";"47.7% (Pnt)";"67.9% (Pnt)";"2002159462"
"Carlos Alberto";"Brasil";"MA/Av C";"São Raimundo (PA)";"16";"30";"0";"49.1% (MA)";"76.2% (MA)";"2002159834"
"Carlos Alberto";"Brasil";"MA DC";"Palmeira de Goianinha";"16";"30";"0";"46.2% (Pnt)";"53.6% (Pnt)";"2002160397"
"Carlos Alberto";"Brasil";"Def DC";"Formosa";"16";"40";"0";"39.5% (DL)";"49.5% (DL)";"2002160432"
"Carlos Alberto";"Brasil";"GR";"IAPE FC";"16";"40";"0";"47.1% (GR)";"76.1% (GR)";"2002160524"
"Carlos Alberto";"Brasil";"Def/Ala E, M EC";"Jaguariúna";"16";"30";"0";"43.4% (DL)";"58.0% (DL)";"2002160963"
"Carlos Alberto";"Brasil";"Def/Ala/M D";"Heliópolis (RJ)";"16";"30";"0";"39.6% (DL)";"63.6% (DL)";"2002161116"
"Carlos Alberto";"Brasil";"MD, M EC";"Assisense";"16";"40";"0";"47.6% (M)";"68.9% (M)";"2002161120"
"Carlos Alberto";"Brasil / Portugal";"MA DE, PL";"Itaboraí Profute";"16";"40";"0";"38.4% (PLR)";"64.7% (Pnt)";"2002161127"
